Hour	 Total_subsurface_storage	 Total_surface_storage	 Total_surface_runoff	 ET	
1	 2146456479.5380635	 663.6759834718928	 998.9021472844909	 0	
2	 2146384246.928676	 667.3861820630872	 1005.1094245084672	 0	
3	 2146483600.8690727	 668.6912139888587	 1007.6335202228947	 0	
4	 2146571190.6364639	 669.067046892219	 1008.4138320126611	 0	
5	 2146423824.3147907	 669.1402119285513	 1008.5810516885338	 0	
6	 2146255725.6644402	 666.0846649113881	 1003.3010599617687	 0	
7	 2145939580.0387669	 663.0290609064155	 997.7412213763871	 0	
8	 2145146496.6154025	 657.2230472632657	 987.6017058012781	 0	
9	 2144490767.5074992	 655.1162191951206	 983.6333043806507	 0	
10	 2143800001.9970562	 655.1104963517425	 983.3873073136348	 0	
11	 2143094148.1499138	 655.554757723961	 984.1837644693146	 0	
12	 2142358788.1146824	 655.9260796353915	 984.9142350345306	 0	
13	 2141954864.1236424	 660.5337406199294	 992.8135069703657	 0	
14	 2142012622.638088	 666.1357449198106	 1002.6832149795405	 0	
15	 2142071188.8229542	 668.0845912624299	 1006.5712531270193	 0	
16	 2142124098.1653478	 668.7277667317035	 1007.8997412021782	 0	
17	 2142172223.6782525	 668.9787908807945	 1008.4022444178377	 0	
18	 2142257005.2712781	 669.3353542570133	 1009.047577536081	 0	
19	 2142314922.0361116	 669.1726591531304	 1008.8072875765826	 0	
20	 2142337986.7459922	 668.7085626245721	 1007.9953746011358	 0	
21	 2141921925.7336788	 668.0961989895902	 1006.8956459598112	 0	
22	 2141620509.1145806	 668.0995386893369	 1006.8471080529358	 0	
23	 2141639408.8749986	 668.2583321714362	 1007.1302452024403	 0	
24	 2141659306.6608777	 668.4247099917299	 1007.448192808679	 0	
25	 2141673372.4426522	 668.4188363755684	 1007.4685495302488	 0	
26	 2141346931.918083	 664.1762125996327	 1000.1596364220682	 0	
27	 2141021303.6642175	 662.2410331419096	 996.4273083147094	 0	
28	 2140814231.9461496	 663.3645017388659	 998.1364715881914	 0	
29	 2140715904.210571	 667.2427433425622	 1004.9242669121742	 0	
30	 2140624461.1619244	 668.5280715363986	 1007.567512718505	 0	
31	 2140661995.1522663	 668.8636119063422	 1008.3209290209221	 0	
