Hour	 Total_subsurface_storage	 Total_surface_storage	 Total_surface_runoff	 ET	
1	 5156079227.882256	 1798.376558261105	 642.3065820880773	 0	
2	 5156065101.130543	 1859.7693807545731	 666.2679510926461	 0	
3	 5156153324.62457	 1903.4157303310794	 685.3978392872548	 0	
4	 5156233919.5289135	 1932.803779859295	 699.0331853407449	 0	
5	 5156022805.606619	 1952.558449138949	 708.4983944555199	 0	
6	 5155763839.475365	 1932.6179685774034	 702.7549210696023	 0	
7	 5155307996.650336	 1896.6131296664498	 688.8259720284404	 0	
8	 5154321191.957003	 1820.8265815788052	 659.61378550191	 0	
9	 5153401046.351349	 1767.1286867258	 636.3035941824825	 0	
10	 5152469037.272375	 1737.0895510805385	 622.1462367157899	 0	
11	 5151539506.580687	 1721.7346072732141	 614.5187787978986	 0	
12	 5150593816.345289	 1713.98637637275	 610.5870072906554	 0	
13	 5150074066.269048	 1757.0604610443797	 624.5637053671936	 0	
14	 5150113759.937595	 1830.2993516922065	 652.0163076961585	 0	
15	 5150163402.0560465	 1884.4472581327866	 674.9617953976054	 0	
16	 5150210473.113818	 1923.8793376269748	 691.759747046386	 0	
17	 5150257161.259568	 1951.980153674357	 703.647926550544	 0	
18	 5150343616.1762085	 1974.8035035722844	 712.9739699156208	 0	
19	 5150399782.038263	 1987.8748757154517	 718.5243219099301	 0	
20	 5150415944.572239	 1992.7477435993865	 720.6784933276427	 0	
21	 5149904616.7242775	 1991.3209113024477	 720.1771415907612	 0	
22	 5149523412.836374	 1992.667635915588	 720.4526326257591	 0	
23	 5149527000.024301	 1995.7997999511795	 721.4616132555512	 0	
24	 5149537884.685357	 1999.2604575394364	 722.823845788931	 0	
25	 5149543230.954251	 2000.9442081056477	 723.6675140075731	 0	
26	 5149117059.819958	 1954.7289331093614	 707.3779835452909	 0	
27	 5148664548.924287	 1915.9394673033705	 691.5548931628616	 0	
28	 5148368816.6779375	 1908.4099355111825	 686.6701608106421	 0	
29	 5148241152.717382	 1942.8374030903394	 697.9964814123127	 0	
30	 5148117521.153255	 1968.2262497115048	 708.3702920400347	 0	
31	 5148153127.013221	 1984.963924801416	 715.7512278244564	 0	
32	 5147465125.312359	 1927.7917225209644	 696.6412962563544	 0	
33	 5146919434.931032	 1897.3086074796638	 683.4148383052343	 0	
34	 5146448418.435535	 1887.4491832385595	 678.0383827272256	 0	
35	 5146434669.932798	 1924.8120166609256	 690.1557976286907	 0	
36	 5146400013.453504	 1950.799119459957	 700.8440812673551	 0	
37	 5146359082.587452	 1968.9198359081793	 708.6306155532053	 0	
38	 5146288522.958545	 1978.8150638845777	 713.1257104196134	 0	
39	 5145339256.240028	 1913.730953691801	 691.1231976645189	 0	
40	 5144358349.810544	 1860.347067825056	 669.9471145198174	 0	
41	 5143354770.358365	 1816.8159674917574	 652.1378688150708	 0	
42	 5142353994.204685	 1781.3544889912298	 637.6695199099512	 0	
43	 5141525708.038251	 1761.7736974939082	 629.128431100082	 0	
44	 5140822011.200972	 1751.0847838601476	 624.4815958077858	 0	
45	 5140212317.378419	 1744.2010213694798	 621.6758049417068	 0	
46	 5139673969.568082	 1747.5836241465336	 622.5874721469	 0	
47	 5139200451.854784	 1757.1080954788983	 626.079988201023	 0	
48	 5138786862.756773	 1770.298967537206	 631.19700497863	 0	
49	 5138464951.227479	 1793.2555889629818	 639.9509225174905	 0	
50	 5138221333.477367	 1821.6784695486128	 650.9381641680309	 0	
51	 5138041300.163657	 1852.29305984599	 662.8011988728257	 0	
52	 5137921303.715897	 1902.2930781974583	 681.5689171607693	 0	
53	 5137812419.063435	 1938.442601175031	 696.43006084835	 0	
54	 5137674979.6889925	 1940.9716324716246	 698.8687956393118	 0	
55	 5137514770.739752	 1943.2000485916208	 699.6357312953617	 0	
56	 5136932709.0661125	 1907.5071766073074	 687.0112640744309	 0	
57	 5136686221.054767	 1914.7281463847073	 687.6346749682311	 0	
58	 5136296265.848338	 1907.2805160792504	 685.03348801841	 0	
59	 5135691230.62975	 1883.7337964010899	 676.6555842169221	 0	
60	 5134797446.498324	 1844.0749413290773	 662.1435650337307	 0	
61	 5133746213.641822	 1798.875206218546	 644.8721970874747	 0	
62	 5132505466.0557	 1747.8990419925387	 625.1925633092037	 0	
63	 5131056741.4425955	 1691.1164815595916	 603.325943591022	 0	
64	 5129738809.37933	 1653.5353868246598	 587.8275259837116	 0	
65	 5128542875.328827	 1631.1144690449462	 578.3579995834925	 0	
66	 5127482438.789178	 1621.0775628228125	 573.8931838085236	 0	
67	 5126708634.764508	 1627.5131374908397	 575.5383463501308	 0	
68	 5126152129.921767	 1647.9472018943811	 582.6381917204067	 0	
69	 5125758127.314514	 1676.7971513468653	 593.3434948403024	 0	
70	 5125438464.999165	 1710.163055072316	 606.1687276483941	 0	
71	 5125176699.191154	 1742.8538211310652	 619.186018798583	 0	
72	 5124954146.988996	 1771.194686967343	 630.8518075259925	 0	
73	 5124766462.751772	 1796.026800222908	 641.1626963938523	 0	
74	 5124598222.188484	 1815.5709217573633	 649.4575943751835	 0	
75	 5124440695.1721325	 1829.363510113775	 655.5167426285716	 0	
76	 5124293843.968126	 1839.6002445328556	 660.0517475886467	 0	
77	 5124157028.040783	 1847.1292003991837	 663.4392997378567	 0	
78	 5124031811.115752	 1853.1697482369966	 666.1447125002163	 0	
79	 5123839888.279464	 1855.5095158711524	 667.31305011216	 0	
80	 5123256667.622025	 1826.351080994211	 656.9452115429249	 0	
81	 5122911560.917136	 1829.2332850709925	 656.0624261713059	 0	
82	 5122430585.799701	 1822.4910093494368	 653.1561572839906	 0	
83	 5121741725.613258	 1802.7298943186095	 645.6891279507961	 0	
